Mora;Calle Ciudad de Martos, 7, 45400;925 34 01 90;627 10 89 68;mora@catalano.es  morakids@catalano.es;;;;;;
Nambroca;Plaza Reloj, 8, local 2, 45190;925 60 93 00;676 87 45 28;nambroca@catalano.es;;;;;;
Ocaña;Calle Santa Clara, 1, 45300;925 12 17 11;699 70 85 75;ocania@catalano.es  ocaniakids@catalano.es;;;;;;
Olías del Rey;Travesía Alamillo, 9, 45280;925 49 14 05;650 12 98 25;oliasdelrey@catalano.es;;;;;;
Quintanar de la Orden;Príncipe, 1 bajo;925 702 541;619 437 921;quintanar@catalano.es;;;;;;
Sonseca;Avenida de Europa, 26, 45100;925 38 38 54;679 15 17 50;sonseca@catalano.es  sonsecakids@catalano.es;;;;;;
Talavera de la Reina;San Francisco, 29, 45600;925 246 499;690 302 640;talavera@catalano.es;;;;;;
Toledo;Avenida de Portugal, 22, 45008;925 50 44 11 ;669 42 01 10;toledo@catalano.es;;;;;;
Toledo 2;Coronel Baeza, 7, 45004;925 364 209;682 872 766;toledo@catalano.es;;;;;;
Villafranca de los Caballeros;Calle Angosta, 37, 45730;926 55 82 92;689 43 06 24;villafranca@catalano.es;;;;;;
Yuncos;Avenida Doctor Fleming, 23, 45210;925 53 75 23;650 09 86 78;yuncos@catalano.es;;;;;;
;;;;;;;;;;
;;;;;;;;;;
ALBACETE;DIRECCIÓN;TELÉFONO;MÓVIL;CORREO;;ALBACETE;DIRECCIÓN;TELÉFONO;MÓVIL;CORREO
Albacete;Plaza Gabriel Lodares,4 esquina con Octavio Cuartero, 02003;967 177 432;638 591 719;albacete@catalano.es;;Albacete;Plaza Gabriel Lodares,4 esquina con Octavio Cuartero, 02003;;690 044 862;albacete@harmonycatalano.es
La Roda;Calle Plaza Mayor, 7, 02630;967 443 098;686 611 974;laroda@catalano.es;;;;;;
;;;;;;;;;;
;;;;;;;;;;
MADRID;DIRECCIÓN;TELÉFONO;MÓVIL;CORREO;;MADRID;DIRECCIÓN;TELÉFONO;MÓVIL;CORREO
Alcalá de Henares;Pº de los Curas, 1, 28803;910 327 479;692 981 998;alcala@catalano.es;;Alcalá de Henares;Pº de los Curas, 1, 28803;;680 871 199;alcala@harmonycatalano.es
Aranjuez;Calle del Foso, 56, esquina con calle de las Infantas, 28300;918 011 008;689 332 918;aranjuez@catalano.es;;;;;;
Fuenlabrada;Calle de Portugal, 37, 28943;914 960 351;690 948 560;fuenlabrada@catalano.es;;;;;;
Torrejón de Ardoz;Avda. de la Constitución, 27, 28850;910 222 141;691 125 788;torrejon@catalano.es;;Torrejón de Ardoz;Avda. de la Constitución, 27, 28850;;676 079 260;torrejon@harmonycatalano.es
